"","Species","Island","Clutch Completion","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Delta 15 N (o/oo)","Delta 13 C (o/oo)"
"24","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",39.5,17.8,188,3300,"FEMALE",9.66523,-25.0602
"25","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",40.9,18.9,184,3900,"MALE",8.79665,-25.14591
"26","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",36.4,17,195,3325,"FEMALE",9.17847,-25.23061
"27","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",39.2,21.1,196,4150,"MALE",9.15308,-25.03469
"28","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",38.8,20,190,3950,"MALE",9.18985,-25.12255
"29","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",42.2,18.5,180,3550,"FEMALE",8.04787,-25.49523
"30","Adelie Penguin (Pygoscelis adeliae)","Dream","No",37.6,19.3,181,3300,"FEMALE",9.41131,-25.04169
"31","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",36.5,18,182,3150,"FEMALE",9.68933,-24.4228
"32","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",36,18.5,186,3100,"FEMALE",9.50772,-25.03492
"33","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",44.1,19.7,196,4400,"MALE",9.2372,-24.52698
"34","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",37,16.9,185,3000,"FEMALE",9.36392,-25.01745
"35","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",39.6,18.8,190,4600,"MALE",9.49106,-24.10255
"36","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",36,17.9,190,3450,"FEMALE",9.51784,-25.07683
"37","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",42.3,21.2,191,4150,"MALE",8.87988,-25.18543
"38","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",39.6,17.7,186,3500,"FEMALE",8.46616,-26.12989
"39","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",40.1,18.9,188,4300,"MALE",8.51362,-26.55602
"40","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",35,17.9,190,3450,"FEMALE",8.19539,-26.17213
"41","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",42,19.5,200,4050,"MALE",8.48095,-26.3146
"42","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",34.5,18.1,187,2900,"FEMALE",8.41837,-26.54718
"43","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",41.4,18.6,191,3700,"MALE",8.35396,-26.27853
"44","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",39,17.5,186,3550,"FEMALE",8.57199,-26.07188
"45","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",40.6,18.8,193,3800,"MALE",8.56674,-25.98843
"46","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",36.5,16.6,181,2850,"FEMALE",9.07878,-25.88156
"47","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",37.6,19.1,194,3750,"MALE",9.108,-25.89677
"48","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",35.7,16.9,185,3150,"FEMALE",8.96472,-26.40943
"49","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",41.3,21.1,195,4400,"MALE",8.74802,-26.37809
"50","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",37.6,17,185,3600,"FEMALE",8.58063,-26.21569
"51","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",41.1,18.2,192,4050,"MALE",8.62264,-26.60023
"52","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",36.4,17.1,184,2850,"FEMALE",8.62623,-26.1165
"53","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",41.6,18,192,3950,"MALE",8.85562,-26.09294
"54","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",35.5,16.2,195,3350,"FEMALE",8.56192,-25.95541
"55","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",41.1,19.1,188,4100,"MALE",8.71078,-25.81012
"56","Adelie Penguin (Pygoscelis adeliae)","Torgersen","No",35.9,16.6,190,3050,"FEMALE",8.47781,-26.07821
"57","Adelie Penguin (Pygoscelis adeliae)","Torgersen","No",41.8,19.4,198,4450,"MALE",8.86853,-26.06209
"58","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",33.5,19,190,3600,"FEMALE",7.88863,-26.63085
"59","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",39.7,18.4,190,3900,"MALE",9.29808,-25.23453
"60","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",39.6,17.2,196,3550,"FEMALE",8.33524,-26.55351
"61","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",45.8,18.9,197,4150,"MALE",8.18658,-26.45978
"62","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",35.5,17.5,190,3700,"FEMALE",8.70642,-26.15003
"63","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",42.8,18.5,195,4250,"MALE",8.2993,-26.38986
"64","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",40.9,16.8,191,3700,"FEMALE",8.47257,-26.02002
"65","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",37.2,19.4,184,3900,"MALE",8.3554,-26.44787
"66","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",36.2,16.1,187,3550,"FEMALE",7.82381,-26.51382
"67","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",42.1,19.1,195,4000,"MALE",9.05736,-25.81513
"68","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",34.6,17.2,189,3200,"FEMALE",7.69778,-26.5387
"69","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",42.9,17.6,196,4700,"MALE",8.63259,-26.23027
"70","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",36.7,18.8,187,3800,"FEMALE",7.88494,-26.24837
"71","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",35.1,19.4,193,4200,"MALE",8.90002,-26.46254
"72","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",37.3,17.8,191,3350,"FEMALE",8.32718,-26.38396
"73","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",41.3,20.3,194,3550,"MALE",9.14863,-26.09635
"74","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",36.3,19.5,190,3800,"MALE",8.57087,-26.22227
"75","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",36.9,18.6,189,3500,"FEMALE",8.59147,-26.08165
"76","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",38.3,19.2,189,3950,"MALE",9.07826,-26.12417
"77","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",38.9,18.8,190,3600,"FEMALE",8.36936,-26.11199
"78","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",35.7,18,202,3550,"FEMALE",8.46531,-26.05621
"79","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",41.1,18.1,205,4300,"MALE",8.77018,-25.83352
"80","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",34,17.1,185,3400,"FEMALE",8.01485,-26.69543
"81","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",39.6,18.1,186,4450,"MALE",8.49915,-26.42406
"82","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",36.2,17.3,187,3300,"FEMALE",8.90723,-26.30037
"83","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",40.8,18.9,208,4300,"MALE",8.48204,-26.57941
"84","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",38.1,18.6,190,3700,"FEMALE",8.10277,-26.50086
"85","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",40.3,18.5,196,4350,"MALE",8.39459,-26.01152
"86","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",33.1,16.1,178,2900,"FEMALE",9.04218,-26.15775
"87","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",43.2,18.5,192,4100,"MALE",8.97025,-26.03679
"88","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",35,17.9,192,3725,"FEMALE",8.84451,-26.28055
"89","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",41,20,203,4725,"MALE",9.01079,-26.38085
"90","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",37.7,16,183,3075,"FEMALE",9.2151,-26.2253
"91","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",37.8,20,190,4250,"MALE",9.51929,-25.69199
"92","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",37.9,18.6,193,2925,"FEMALE",9.02642,-25.86482
"93","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",39.7,18.9,184,3550,"MALE",8.85699,-25.80208
"94","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",38.6,17.2,199,3750,"FEMALE",8.77322,-26.48973
"95","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",38.2,20,190,3900,"MALE",9.59245,-25.70711
"96","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",38.1,17,181,3175,"FEMALE",9.79532,-25.27385
"97","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",43.2,19,197,4775,"MALE",9.31735,-25.45171
"98","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",38.1,16.5,198,3825,"FEMALE",8.43951,-26.57563
"99","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",45.6,20.3,191,4600,"MALE",8.65466,-26.32909
"100","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",39.7,17.7,193,3200,"FEMALE",9.02657,-26.06203
"101","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",42.2,19.5,197,4275,"MALE",8.80186,-26.41218
"102","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",39.6,20.7,191,3900,"FEMALE",8.80967,-26.78958
"103","Adelie Penguin (Pygoscelis adeliae)","Biscoe","Yes",42.7,18.3,196,4075,"MALE",8.91434,-26.42018
"104","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",38.6,17,188,2900,"FEMALE",9.18021,-25.77264
"105","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",37.3,20.5,199,3775,"MALE",9.49645,-26.36678
"106","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",35.7,17,189,3350,"FEMALE",8.96436,-23.90309
"107","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",41.1,18.6,189,3325,"MALE",9.32277,-26.09989
"108","Adelie Penguin (Pygoscelis adeliae)","Torgersen","No",36.2,17.2,187,3150,"FEMALE",9.04296,-26.19444
"109","Adelie Penguin (Pygoscelis adeliae)","Torgersen","No",37.7,19.8,198,3500,"MALE",9.11066,-26.42563
"110","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",40.2,17,176,3450,"FEMALE",9.30722,-25.61039
"111","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",41.4,18.5,202,3875,"MALE",9.59462,-25.42621
"112","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",35.2,15.9,186,3050,"FEMALE",8.81668,-25.95399
"113","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",40.6,19,199,4000,"MALE",9.22537,-25.60826
"114","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",38.8,17.6,191,3275,"FEMALE",8.88098,-25.89741
"115","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",41.5,18.3,195,4300,"MALE",8.52566,-26.0245
"116","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",39,17.1,191,3050,"FEMALE",9.19031,-25.73722
"117","Adelie Penguin (Pygoscelis adeliae)","Torgersen","Yes",44.1,18,210,4000,"MALE",9.10702,-26.01363
"118","Adelie Penguin (Pygoscelis adeliae)","Torgersen","No",38.5,17.9,190,3325,"FEMALE",8.9846,-25.57956
"119","Adelie Penguin (Pygoscelis adeliae)","Torgersen","No",43.1,19.2,197,3500,"MALE",8.86495,-26.1396
"120","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",36.8,18.5,193,3500,"FEMALE",8.98705,-25.57647
"121","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",37.5,18.5,199,4475,"MALE",8.56708,-26.49288
"122","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",38.1,17.6,187,3425,"FEMALE",8.717,-25.77951
"123","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",41.1,17.5,190,3900,"MALE",8.94365,-26.06943
"124","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",35.6,17.5,191,3175,"FEMALE",8.75984,-25.97696
"125","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",40.2,20.1,200,3975,"MALE",8.95998,-26.32601
"126","Adelie Penguin (Pygoscelis adeliae)","Dream","No",37,16.5,185,3400,"FEMALE",8.61651,-26.07021
"127","Adelie Penguin (Pygoscelis adeliae)","Dream","No",39.7,17.9,193,4250,"MALE",9.25769,-25.88798
"128","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",40.2,17.1,193,3400,"FEMALE",9.2881,-25.54976
"129","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",40.6,17.2,187,3475,"MALE",9.23408,-26.01549
"130","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",32.1,15.5,188,3050,"FEMALE",8.79787,-26.61075
"131","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",40.7,17,190,3725,"MALE",9.05674,-25.79529
"132","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",37.3,16.8,192,3000,"FEMALE",9.06829,-25.85203
"133","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",39,18.7,185,3650,"MALE",9.22033,-26.03442
"134","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",39.2,18.6,190,4250,"MALE",9.11006,-25.79549
"135","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",36.6,18.4,184,3475,"FEMALE",8.68744,-25.8306
"136","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",36,17.8,195,3450,"FEMALE",8.94332,-25.79189
"137","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",37.8,18.1,193,3750,"MALE",8.97533,-26.03495
"138","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",36,17.1,187,3700,"FEMALE",8.93465,-26.07081
"139","Adelie Penguin (Pygoscelis adeliae)","Dream","Yes",41.5,18.5,201,4000,"MALE",8.8964,-26.06967
"140","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.1,13.2,211,4500,"FEMALE",7.993,-25.5139
"141","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",50,16.3,230,5700,"MALE",8.14756,-25.39369
"142","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",48.7,14.1,210,4450,"FEMALE",8.14705,-25.46172
"143","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",50,15.2,218,5700,"MALE",8.2554,-25.40075
"144","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",47.6,14.5,215,5400,"MALE",8.2345,-25.54456
"145","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.5,13.5,210,4550,"FEMALE",7.9953,-25.32829
"146","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.4,14.6,211,4800,"FEMALE",8.24515,-25.46782
"147","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.7,15.3,219,5200,"MALE",8.22673,-25.4276
"148","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",43.3,13.4,209,4400,"FEMALE",8.13643,-25.32176
"149","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.8,15.4,215,5150,"MALE",8.1631,-25.38017
"150","Gentoo penguin (Pygoscelis papua)","Biscoe","No",40.9,13.7,214,4650,"FEMALE",8.19579,-25.3933
"151","Gentoo penguin (Pygoscelis papua)","Biscoe","No",49,16.1,216,5550,"MALE",8.10417,-25.50562
"152","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.5,13.7,214,4650,"FEMALE",7.77672,-25.4168
"153","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",48.4,14.6,213,5850,"MALE",7.8208,-25.48025
"154","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.8,14.6,210,4200,"FEMALE",7.79958,-25.62618
"155","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",49.3,15.7,217,5850,"MALE",8.07137,-25.52473
"156","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",42,13.5,210,4150,"FEMALE",7.63884,-25.52627
"157","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",49.2,15.2,221,6300,"MALE",8.27376,-25.00169
"158","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.2,14.5,209,4800,"FEMALE",7.84057,-25.37899
"159","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",48.7,15.1,222,5350,"MALE",7.96491,-25.39587
"160","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",50.2,14.3,218,5700,"MALE",7.8962,-25.37746
"161","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.1,14.5,215,5000,"FEMALE",7.6322,-25.46569
"162","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.5,14.5,213,4400,"FEMALE",7.90436,-25.3947
"163","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.3,15.8,215,5050,"MALE",7.90971,-25.38157
"164","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",42.9,13.1,215,5000,"FEMALE",7.68528,-25.39181
"165","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.1,15.1,215,5100,"MALE",7.83733,-25.42826
"166","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",47.8,15,215,5650,"MALE",7.92358,-25.48383
"167","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",48.2,14.3,210,4600,"FEMALE",7.6887,-25.50811
"168","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",50,15.3,220,5550,"MALE",8.30515,-25.19017
"169","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",42.8,14.2,209,4700,"FEMALE",7.63452,-25.46327
"170","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.1,14.5,207,5050,"FEMALE",7.97408,-25.53768
"171","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",59.6,17,230,6050,"MALE",7.76843,-25.6821
"172","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",49.1,14.8,220,5150,"FEMALE",7.89744,-26.63405
"173","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",48.4,16.3,220,5400,"MALE",8.03659,-26.86127
"174","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",42.6,13.7,213,4950,"FEMALE",7.96935,-26.70968
"175","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",44.4,17.3,219,5250,"MALE",8.13746,-26.79093
"176","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",44,13.6,208,4350,"FEMALE",8.01979,-26.68311
"177","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",48.7,15.7,208,5350,"MALE",8.14776,-26.84506
"178","Gentoo penguin (Pygoscelis papua)","Biscoe","No",42.7,13.7,208,3950,"FEMALE",8.14567,-26.59467
"179","Gentoo penguin (Pygoscelis papua)","Biscoe","No",49.6,16,225,5700,"MALE",8.38324,-26.84272
"180","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.3,13.7,210,4300,"FEMALE",8.37615,-26.72791
"181","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",49.6,15,216,4750,"MALE",8.26548,-26.7699
"182","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",50.5,15.9,222,5550,"MALE",8.46894,-26.60436
"183","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",43.6,13.9,217,4900,"FEMALE",8.27141,-26.7765
"184","Gentoo penguin (Pygoscelis papua)","Biscoe","No",45.5,13.9,210,4200,"FEMALE",8.47829,-26.61788
"185","Gentoo penguin (Pygoscelis papua)","Biscoe","No",50.5,15.9,225,5400,"MALE",8.65803,-26.57585
"186","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",44.9,13.3,213,5100,"FEMALE",8.45167,-26.89644
"187","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.2,15.8,215,5300,"MALE",8.55868,-26.67799
"188","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.6,14.2,210,4850,"FEMALE",8.38289,-26.86352
"189","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",48.5,14.1,220,5300,"MALE",8.39867,-26.79358
"190","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.1,14.4,210,4400,"FEMALE",8.51951,-27.01854
"191","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",50.1,15,225,5000,"MALE",8.50153,-26.61414
"192","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.5,14.4,217,4900,"FEMALE",8.48789,-26.83006
"193","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45,15.4,220,5050,"MALE",8.63488,-26.75621
"194","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",43.8,13.9,208,4300,"FEMALE",8.58319,-26.84415
"195","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.5,15,220,5000,"MALE",8.63604,-26.7489
"196","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",43.2,14.5,208,4450,"FEMALE",8.48367,-26.86485
"197","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",50.4,15.3,224,5550,"MALE",8.74647,-26.79846
"198","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.3,13.8,208,4200,"FEMALE",8.65015,-26.79053
"199","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.2,14.9,221,5300,"MALE",8.60092,-26.84374
"200","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.7,13.9,214,4400,"FEMALE",8.6287,-26.60484
"201","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",54.3,15.7,231,5650,"MALE",8.49662,-26.84166
"202","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.8,14.2,219,4700,"FEMALE",8.60447,-26.61601
"203","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",49.8,16.8,230,5700,"MALE",8.47067,-26.69166
"204","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",49.5,16.2,229,5800,"MALE",8.49854,-26.74809
"205","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",43.5,14.2,220,4700,"FEMALE",8.64931,-26.68867
"206","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",50.7,15,223,5550,"MALE",8.63551,-26.74249
"207","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",47.7,15,216,4750,"FEMALE",8.53018,-26.72751
"208","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.4,15.6,221,5000,"MALE",8.35078,-26.70783
"209","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",48.2,15.6,221,5100,"MALE",8.24651,-26.66958
"210","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.5,14.8,217,5200,"FEMALE",8.58487,-26.5929
"211","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",46.4,15,216,4700,"FEMALE",8.47938,-26.9547
"212","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",48.6,16,230,5800,"MALE",8.5964,-26.71199
"213","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",47.5,14.2,209,4600,"FEMALE",8.39299,-26.78733
"214","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",51.1,16.3,220,6000,"MALE",8.40327,-26.76821
"215","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.2,13.8,215,4750,"FEMALE",8.24694,-26.65359
"216","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",45.2,16.4,223,5950,"MALE",8.19749,-26.65931
"217","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",49.1,14.5,212,4625,"FEMALE",8.35802,-26.2766
"218","Gentoo penguin (Pygoscelis papua)","Biscoe","Yes",52.5,15.6,221,5450,"MALE",8.28601,-26.27573
